GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
262936474,SushiGo,3,GAME_OVER,83,0,3,242,randomPlayer,31.0,33.0,53.0,Basic MCTS,GroupAA MCTS Agent,3,randomPlayer,3,2,2,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-2019278420,SushiGo,3,GAME_OVER,82,0,3,243,GroupAA MCTS Agent,29.0,57.0,41.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-1661237415,SushiGo,3,GAME_OVER,83,0,3,244,GroupAA MCTS Agent,34.0,62.0,39.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
830372098,SushiGo,3,GAME_OVER,83,0,3,245,Basic MCTS,36.0,47.0,53.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
-1794082882,SushiGo,3,GAME_OVER,84,0,3,246,GroupAA MCTS Agent,35.0,76.0,35.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-2136969544,SushiGo,3,GAME_OVER,83,0,3,247,randomPlayer,37.0,26.0,59.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-1613804798,SushiGo,3,GAME_OVER,83,0,3,248,randomPlayer,29.0,24.0,48.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
1066856389,SushiGo,3,GAME_OVER,82,0,3,249,GroupAA MCTS Agent,33.0,56.0,35.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-673053507,SushiGo,3,GAME_OVER,83,0,3,250,GroupAA MCTS Agent,40.0,42.0,40.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-1416735319,SushiGo,3,GAME_OVER,84,0,3,251,GroupAA MCTS Agent,44.0,52.0,37.0,Basic MCTS,randomPlayer,2,GroupAA MCTS Agent,2,1,1,3,Basic MCTS,3,randomPlayer,Basic MCTS,GroupAA MCTS Agent,randomPlayer,0
